Rocking_Angle	Period	O_Counts	H_Counts	O+H	Monitor_Counts
1.400	60	15	21	36	0
1.500	60	17	15	32	0
1.600	60	14	11	25	0
1.700	60	7	12	19	0
1.800	60	15	22	37	0
1.900	60	31	57	88	0
2.000	60	29	67	96	0
2.100	60	50	90	140	0
2.200	60	38	86	124	0
2.300	60	29	60	89	0
2.400	60	23	43	66	0
2.500	60	16	27	43	0
2.600	60	12	12	24	0
2.700	60	13	7	20	0
2.800	60	15	10	25	0
