PhaseShifterPosition	Period	O_Counts	H_Counts	O+H	O_AUX_Counts	H_AUX_Counts	O_AUX+H_AUX	Monitor_Counts
0.000	120	16	75	91	30	223	253	308
0.150	120	21	91	112	28	211	239	307
0.300	120	19	87	106	42	227	269	275
0.450	120	9	69	78	39	202	241	301
0.600	120	22	55	77	44	184	228	310
0.750	120	36	56	92	65	142	207	257
0.900	120	31	55	86	74	153	227	309
1.050	120	27	76	103	76	169	245	272
1.200	120	25	75	100	59	181	240	281
1.350	120	24	86	110	57	210	267	303
1.500	120	15	79	94	44	226	270	297
1.650	120	18	62	80	26	238	264	310
1.800	120	23	89	112	47	195	242	307
1.950	120	26	75	101	45	190	235	290
2.100	120	26	74	100	50	164	214	305
2.250	120	22	72	94	66	144	210	283
2.400	120	26	60	86	77	156	233	289
2.550	120	23	63	86	66	155	221	298
2.700	120	16	88	104	52	194	246	263
2.850	120	13	87	100	44	210	254	296
3.000	120	8	91	99	34	237	271	308
3.150	120	18	65	83	33	229	262	272
3.300	120	25	70	95	31	243	274	281
3.450	120	7	85	92	57	182	239	339
3.600	120	28	63	91	68	164	232	293
3.750	120	23	44	67	86	131	217	305
