PhaseShifterPosition	Period	O_Counts	H_Counts	O+H	O_AUX_Counts	H_AUX_Counts	O_AUX+H_AUX	Monitor_Counts
0.600	180	24	143	167	61	361	422	435
0.750	180	36	121	157	84	309	393	478
0.900	180	42	99	141	99	297	396	421
1.050	180	36	107	143	122	267	389	466
1.200	180	44	90	134	113	254	367	474
1.350	180	33	115	148	114	268	382	429
1.500	180	25	111	136	92	285	377	472
1.650	180	22	119	141	69	356	425	417
1.800	180	20	130	150	56	379	435	432
1.950	180	33	141	174	50	362	412	468
2.100	180	41	135	176	82	335	417	464
2.250	180	41	119	160	101	289	390	474
2.400	180	36	108	144	142	247	389	469
2.550	180	39	104	143	133	239	372	429
