Rocking_Angle	Period	O_Counts	H_Counts	O+H	Monitor_Counts
1.400	60	9	17	26	0
1.500	60	20	19	39	0
1.600	60	13	17	30	0
1.700	60	11	19	30	0
1.800	60	14	28	42	0
1.900	60	23	61	84	0
2.000	60	25	104	129	0
2.100	60	26	140	166	0
2.200	60	22	121	143	0
2.300	60	32	81	113	0
2.400	60	19	33	52	0
2.500	60	6	11	17	0
2.600	60	2	11	13	0
2.700	60	1	0	1	0
2.800	60	2	2	4	0
