PhaseShifterPosition	Period	O_Counts	H_Counts	O+H	O_AUX_Counts	H_AUX_Counts	O_AUX+H_AUX	Monitor_Counts
0.600	180	29	136	165	55	385	440	450
0.750	180	32	103	135	92	305	397	452
0.900	180	44	111	155	105	311	416	451
1.050	180	36	109	145	130	262	392	438
1.200	180	51	105	156	135	266	401	460
1.350	180	35	107	142	112	271	383	463
1.500	180	44	124	168	81	332	413	497
1.650	180	26	145	171	54	350	404	480
1.800	180	21	126	147	43	368	411	411
1.950	180	31	128	159	73	368	441	443
2.100	180	29	119	148	103	338	441	436
2.250	180	47	114	161	93	289	382	475
2.400	180	47	91	138	128	263	391	481
2.550	180	48	93	141	141	219	360	436
