Rocking_Angle	Period	O_Counts	H_Counts	O+H	Monitor_Counts
1.400	60	16	20	36	0
1.500	60	9	19	28	0
1.600	60	19	28	47	0
1.700	60	15	11	26	0
1.800	60	18	44	62	0
1.900	60	19	60	79	0
2.000	60	34	85	119	0
2.100	60	40	119	159	0
2.200	60	42	86	128	0
2.300	60	39	54	93	0
2.400	60	22	39	61	0
2.500	60	34	18	52	0
2.600	60	19	9	28	0
2.700	60	13	15	28	0
2.800	60	8	13	21	0
