PhaseShifterPosition	Period	O_Counts	H_Counts	O+H	O_AUX_Counts	H_AUX_Counts	O_AUX+H_AUX	Monitor_Counts
0.000	180	25	120	145	50	385	435	447
0.150	180	33	135	168	46	338	384	457
0.300	180	27	114	141	79	338	417	440
0.450	180	47	88	135	85	272	357	461
0.600	180	38	91	129	110	233	343	432
0.750	180	37	82	119	145	234	379	472
0.900	180	50	91	141	120	231	351	458
1.050	180	30	83	113	113	282	395	441
1.200	180	36	95	131	93	322	415	467
1.350	180	32	116	148	64	359	423	460
1.500	180	20	124	144	54	349	403	459
1.650	180	24	115	139	48	365	413	483
1.800	180	23	124	147	66	357	423	441
1.950	180	27	114	141	82	305	387	405
2.100	180	23	112	135	111	261	372	475
2.250	180	42	101	143	121	235	356	431
2.400	180	32	124	156	123	245	368	455
2.550	180	29	96	125	92	309	401	458
2.700	180	26	113	139	72	317	389	478
2.850	180	22	118	140	67	331	398	461
3.000	180	21	100	121	71	364	435	420
3.150	180	27	132	159	52	332	384	450
3.300	180	44	139	183	89	296	385	459
3.450	180	31	88	119	100	284	384	440
3.600	180	49	85	134	117	242	359	422
3.750	180	56	86	142	129	229	358	426
3.900	180	32	93	125	124	269	393	439
