Rocking_Angle	Period	O_Counts	H_Counts	O+H	Monitor_Counts
1.400	60	11	13	24	0
1.500	60	11	12	23	0
1.600	60	16	18	34	0
1.700	60	13	17	30	0
1.800	60	12	38	50	0
1.900	60	23	73	96	0
2.000	60	34	102	136	0
2.100	60	43	88	131	0
2.200	60	36	95	131	0
2.300	60	33	65	98	0
2.400	60	16	48	64	0
2.500	60	22	14	36	0
2.600	60	17	15	32	0
2.700	60	9	14	23	0
2.800	60	15	12	27	0
