PhaseShifterPosition	Period	O_Counts	H_Counts	O+H	O_AUX_Counts	H_AUX_Counts	O_AUX+H_AUX	Monitor_Counts
0.000	180	26	118	144	44	357	401	413
0.150	180	31	132	163	57	341	398	447
0.300	180	21	121	142	70	342	412	415
0.450	180	35	117	152	88	272	360	498
0.600	180	32	88	120	118	265	383	486
0.750	180	35	80	115	114	221	335	439
0.900	180	32	91	123	117	245	362	440
1.050	180	37	90	127	111	262	373	442
1.200	180	28	114	142	80	303	383	403
1.350	180	17	115	132	86	363	449	406
1.500	180	21	111	132	59	363	422	426
1.650	180	22	132	154	50	374	424	474
1.800	180	32	131	163	75	330	405	471
1.950	180	33	121	154	95	283	378	423
2.100	180	45	103	148	111	222	333	476
2.250	180	28	84	112	117	253	370	434
2.400	180	39	103	142	103	270	373	450
2.550	180	34	112	146	79	290	369	453
2.700	180	31	128	159	66	319	385	451
2.850	180	22	119	141	52	359	411	462
3.000	180	26	115	141	47	345	392	408
3.150	180	22	143	165	51	354	405	473
3.300	180	50	114	164	95	321	416	482
3.450	180	36	95	131	110	277	387	472
3.600	180	47	100	147	113	215	328	430
3.750	180	19	100	119	116	232	348	438
3.900	180	46	90	136	127	247	374	463
