PhaseShifterPosition	Period	O_Counts	H_Counts	O+H	O_AUX_Counts	H_AUX_Counts	O_AUX+H_AUX	Monitor_Counts
0.600	180	33	148	181	59	351	410	476
0.750	180	22	127	149	80	349	429	424
0.900	180	37	116	153	122	298	420	451
1.050	180	43	100	143	126	245	371	462
1.200	180	41	117	158	141	275	416	453
1.350	180	32	100	132	101	306	407	428
1.500	180	36	94	130	109	297	406	501
1.650	180	29	126	155	66	338	404	462
1.800	180	30	116	146	54	366	420	448
1.950	180	23	125	148	55	375	430	442
2.100	180	26	97	123	71	328	399	440
2.250	180	30	109	139	94	314	408	436
2.400	180	37	108	145	122	283	405	417
2.550	180	36	115	151	142	229	371	460
