Rocking_Angle	Period	O_Counts	H_Counts	O+H	Monitor_Counts
1.400	60	30	17	47	0
1.500	60	21	13	34	0
1.600	60	20	13	33	0
1.700	60	27	26	53	0
1.800	60	19	30	49	0
1.900	60	31	56	87	0
2.000	60	35	95	130	0
2.100	60	43	76	119	0
2.200	60	30	79	109	0
2.300	60	25	46	71	0
2.400	60	32	26	58	0
2.500	60	23	24	47	0
2.600	60	25	18	43	0
2.700	60	21	11	32	0
2.800	60	19	13	32	0
